Batch ,Measurement date,d.a.i,Tree Code,GS before injectoin,Cultivar ,Status,Leaf #,1 h,24 h
8,5/12/2022,7,JR30,0.083,Sugar Belle ®,HLB+,3,771572.2,407622.8
9,5/11/2022,4,JR05,NA,Pineapple,Healthy,3,903771.2,387324.7
9,5/11/2022,4,JR07,NA,Sugar Belle ®,Healthy,3,190758.5,69182.75
9,5/11/2022,4,JR17,NA,Pineapple,HLB+,3,313775.6,185558.5
9,5/11/2022,4,JR23,NA,Sugar Belle ®,HLB+,3,724279.1,354404.8
9,5/11/2022,4,JR25,NA,Sugar Belle ®,HLB+,3,637519.8,348744.3
9,5/11/2022,4,JR26,NA,Pineapple,HLB+,3,1275184,421793.4
9,5/12/2022,5,JR05,NA,Pineapple,Healthy,3,920975.3,394516.4
9,5/12/2022,5,JR07,NA,Sugar Belle ®,Healthy,3,192908.5,70608.63
9,5/12/2022,5,JR17,NA,Pineapple,HLB+,3,324235.1,198503
9,5/12/2022,5,JR23,NA,Sugar Belle ®,HLB+,3,745970.7,376174.6
9,5/12/2022,5,JR25,NA,Sugar Belle ®,HLB+,3,646618.7,359384.7
9,5/12/2022,5,JR26,NA,Pineapple,HLB+,3,1290095,430794.9
